Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,89.8499984741211,91.5,88.30000305175781,89.3499984741211,4772934,0,0,0.0,0.0,,,,,,,
2021-01-05,88.19999694824219,90.80000305175781,87.5999984741211,89.6500015258789,3205184,0,0,0.0,0.0,,,,,,,
2021-01-06,89.5999984741211,90.5,87.30000305175781,88.55000305175781,2915411,0,0,0.0,0.0,-1.0999984741210938,,,,,,
2021-01-07,89.3499984741211,93.5,88.55000305175781,92.9000015258789,7124276,0,0,0.0,0.0,4.349998474121094,,,,,,
2021-01-08,93.69999694824219,94.19999694824219,91.55000305175781,92.4000015258789,4179333,0,0,0.0,0.0,-0.5,,,,,,
2021-01-11,92.4000015258789,92.8499984741211,89.5999984741211,90.75,2621384,0,0,0.0,0.0,-1.6500015258789062,,,,,,
2021-01-12,90.69999694824219,92.25,87.30000305175781,90.44999694824219,2518994,0,0,0.0,0.0,-0.3000030517578125,,,,,,
2021-01-13,90.55000305175781,93.30000305175781,89.19999694824219,91.30000305175781,3457441,0,0,0.0,0.0,0.850006103515625,,,,,,
2021-01-14,90.5999984741211,92.4000015258789,90.30000305175781,91.55000305175781,2111500,0,0,0.0,0.0,0.25,,,,,,
2021-01-15,92.19999694824219,94.6500015258789,90.69999694824219,93.30000305175781,7789711,0,0,0.0,0.0,1.75,,,,,,
2021-01-18,93.5999984741211,93.6500015258789,87.75,89.6500015258789,3392927,0,0,0.0,0.0,-3.6500015258789062,,,,,,
2021-01-19,90.55000305175781,92.1500015258789,90.05000305175781,91.4000015258789,2176961,0,0,90.93750127156575,0.0,1.75,,,,,,
2021-01-20,91.5,91.94999694824219,90.0,90.75,1784888,0,0,90.9086549220941,0.0,-0.6500015258789062,-0.028846349471649546,,,,,
2021-01-21,91.0,91.69999694824219,86.80000305175781,87.25,2898765,0,0,90.34578493407962,0.0,-3.5,-0.5628699880144836,,,,,
2021-01-22,87.44999694824219,88.55000305175781,85.55000305175781,86.5,2150929,0,0,89.75412571345198,0.0,-0.75,-0.5916592206276334,,,,,
2021-01-25,87.30000305175781,87.5999984741211,83.75,84.0999984741211,2419729,0,0,88.88425998432416,0.0,-2.4000015258789062,-0.8698657291278238,,,,,
2021-01-27,84.0999984741211,84.4000015258789,80.0,80.4000015258789,3228975,0,0,87.57898945225566,0.0,-3.6999969482421875,-1.305270532068505,,,,,
2021-01-28,79.05000305175781,83.0999984741211,78.8499984741211,81.3499984741211,2076009,0,0,86.62068314792727,0.0,0.9499969482421875,-0.9583063043283886,,,,,
