Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,404.0,404.3999938964844,395.0,397.0,9725066,0,0,0.0,0.0,,,,,,,
2021-01-05,394.0,403.8999938964844,390.3999938964844,401.8500061035156,11743029,0,0,0.0,0.0,,,,,,,
2021-01-06,403.95001220703125,409.25,394.6000061035156,396.0,9455430,0,0,0.0,0.0,-5.850006103515625,,,,,,
2021-01-07,406.54998779296875,411.0,401.3999938964844,405.79998779296875,12540078,0,0,0.0,0.0,9.79998779296875,,,,,,
2021-01-08,411.04998779296875,424.0,409.3999938964844,419.3999938964844,16763434,0,0,0.0,0.0,13.600006103515625,,,,,,
2021-01-11,424.8999938964844,424.8999938964844,404.5,408.3999938964844,9559472,0,0,0.0,0.0,-11.0,,,,,,
2021-01-12,406.5,406.5,388.29998779296875,391.45001220703125,20267358,0,0,0.0,0.0,-16.949981689453125,,,,,,
2021-01-13,395.29998779296875,395.45001220703125,371.0,375.1000061035156,21737588,0,0,0.0,0.0,-16.350006103515625,,,,,,
2021-01-14,374.8999938964844,379.79998779296875,369.29998779296875,373.1499938964844,12123283,0,0,0.0,0.0,-1.95001220703125,,,,,,
2021-01-15,376.0,377.8999938964844,362.25,368.54998779296875,12862038,0,0,0.0,0.0,-4.600006103515625,,,,,,
2021-01-18,367.6000061035156,368.95001220703125,354.0,356.0,11063196,0,0,0.0,0.0,-12.54998779296875,,,,,,
2021-01-19,361.29998779296875,364.3999938964844,353.1000061035156,362.29998779296875,14106377,0,0,387.91666412353516,0.0,6.29998779296875,,,,,,
2021-01-20,362.95001220703125,367.29998779296875,357.1000061035156,359.79998779296875,14562621,0,0,383.5910216111403,0.0,-2.5,-4.325642512394836,,,,,
2021-01-21,364.95001220703125,372.54998779296875,335.0,340.70001220703125,34448498,0,0,376.9924047797389,0.0,-19.0999755859375,-6.5986168314014435,,,,,
2021-01-22,333.0,336.20001220703125,311.8500061035156,314.1000061035156,35577488,0,0,367.316651137243,0.0,-26.600006103515625,-9.675753642495863,,,,,
2021-01-25,320.0,320.0,301.5,309.54998779296875,19108393,0,0,358.42947216120086,0.0,-4.550018310546875,-8.88717897604215,,,,,
2021-01-27,309.8500061035156,315.3999938964844,302.1000061035156,303.70001220703125,12842107,0,0,350.00955524517474,0.0,-5.8499755859375,-8.419916916026125,,,,,
2021-01-28,299.8999938964844,313.8999938964844,297.0,311.1499938964844,18713452,0,0,344.0311611915301,0.0,7.449981689453125,-5.978394053644649,,,,,
2021-01-29,316.20001220703125,318.20001220703125,306.5,309.45001220703125,14889735,0,0,338.7109844246841,0.0,-1.699981689453125,-5.320176766845975,,,,,
2021-02-01,310.0,325.8999938964844,304.8999938964844,323.25,16423176,0,0,336.33237143627116,0.0,13.79998779296875,-2.3786129884129537,,,,,
2021-02-02,330.0,343.8999938964844,328.45001220703125,339.3500061035156,21959784,0,0,336.79662292353953,0.0,16.100006103515625,0.4642514872683705,,,,,
2021-02-03,347.0,347.6499938964844,337.1499938964844,342.8500061035156,12611884,0,0,337.72791264353583,0.0,3.5,0.9312897199963004,,,,,
2021-02-04,338.0,352.0,335.1499938964844,346.8500061035156,14445571,0,0,339.1313116373789,0.0,4.0,1.403398993843041,,,,,
2021-02-05,350.0,357.0,328.0,329.54998779296875,23638691,0,0,337.6572618151619,0.0,-17.300018310546875,-1.474049822216955,,,,,
2021-02-08,331.0,339.0,329.5,330.6499938964844,8843690,0,0,336.57922059690384,0.0,1.100006103515625,-1.078041218258079,,,,,
2021-02-09,332.3999938964844,332.3999938964844,323.54998779296875,328.29998779296875,7637014,0,0,335.30549247322153,355.5480757493239,-2.350006103515625,-1.2737281236823037,20.24258327610238,,,,
2021-02-10,330.0,334.45001220703125,321.25,331.20001220703125,8294890,0,0,334.67388012457684,353.7445154869319,2.9000244140625,-0.6316123486446941,-19.070635362355063,-1.8035602623920113,-39.31321863845744,0.0,
2021-02-11,333.54998779296875,335.8500061035156,329.54998779296875,332.6499938964844,8109340,0,0,334.3625130125626,352.1819583320839,1.449981689453125,-0.3113671120142385,-17.81944531952132,-1.5625571548479797,-36.890080681876384,0.0,
2021-02-12,333.1000061035156,341.95001220703125,333.1000061035156,337.5,9455332,0,0,334.8452033183222,351.09440586304066,4.850006103515625,0.48269030575960414,-16.249202544718457,-1.0875524690432599,-34.06864786423978,0.0,
2021-02-15,341.54998779296875,343.8999938964844,338.25,339.95001220703125,5343350,0,0,335.63055853196977,350.2688952218548,2.45001220703125,0.7853552136475628,-14.638336689885023,-0.8255106411858719,-30.88753923460348,0.0,
2021-02-16,338.95001220703125,352.6000061035156,336.5,350.1499938964844,13133247,0,0,337.86431781881817,350.2600877162718,10.199981689453125,2.2337592868483966,-12.395769897453647,-0.008807505582979047,-27.03410658733867,0.0,
2021-02-17,350.0,353.79998779296875,343.6499938964844,348.25,10556444,0,0,339.46211507746153,350.1111923298813,-1.899993896484375,1.597797258643368,-10.649077252419772,-0.1488953863905067,-23.04484714987342,0.0,
2021-02-18,348.29998779296875,353.29998779296875,343.0,345.6499938964844,6616466,0,0,340.41409643423424,349.7807331866667,-2.600006103515625,0.9519813567727056,-9.366636752432441,-0.33045914321462533,-20.015714004852214,0.0,
2021-02-19,344.70001220703125,349.79998779296875,335.0,337.25,7211011,0,0,339.92731236742895,348.85253072839504,-8.399993896484375,-0.48678406680528497,-8.925218360966085,-0.9282024582716417,-18.291855113398526,0.0,
2021-02-22,336.79998779296875,339.1499938964844,324.25,326.8999938964844,7973772,0,0,337.9231095257452,347.22641688899427,-10.350006103515625,-2.004202841683764,-9.303307363249075,-1.626113839400773,-18.22852572421516,14.37298949509491,
2021-02-23,327.95001220703125,330.70001220703125,322.6499938964844,325.29998779296875,5397776,0,0,335.98109079762577,345.60223695595533,-1.600006103515625,-1.9420187281194217,-9.621146158329566,-1.6241799330389313,-18.92445352157864,13.422620827741842,-0.950368667353068
2021-02-24,326.79998779296875,338.29998779296875,324.04998779296875,335.1499938964844,4745325,0,0,335.8532297359117,344.8279967293278,9.850006103515625,-0.127861061714043,-8.974766993416097,-0.7742402266275121,-18.595913151745663,12.533050060876693,-0.8895707668651482
2021-02-25,338.0,346.75,337.5,342.20001220703125,7641813,0,0,336.82965780839163,344.6333312091577,7.050018310546875,0.976428072479905,-7.803673400766058,-0.19466552017013328,-16.778440394182155,11.587174728854567,-0.9458753320221263
2021-02-26,334.0,350.75,332.54998779296875,345.25,12492748,0,0,338.1250950686391,344.67901037884974,3.04998779296875,1.2954372602474677,-6.553915310210641,0.045679169692050436,-14.3575887109767,10.580522845125783,-1.0066518837287841
2021-03-01,349.0,351.25,336.25,338.3999938964844,6356872,0,0,338.16738719599994,344.2138980468227,-6.850006103515625,0.042292127360838094,-6.046510850822756,-0.46511233202704716,-12.600426161033397,9.673720446265179,-0.906802398860604
2021-03-02,341.5,347.29998779296875,338.0,345.20001220703125,4929532,0,0,339.24932950538937,344.2869435401715,6.800018310546875,1.081942309389433,-5.037614034782109,0.0730454933487863,-11.084124885604865,8.746499163968565,-0.9272212822966139
2021-03-03,349.0,357.8999938964844,347.25,354.8999938964844,15005074,0,0,341.6571240270963,345.07309541841687,9.699981689453125,2.4077945217069328,-3.415971391320568,0.7861518782453913,-8.453585426102677,7.6803936094389655,-1.0661055545295994
2021-03-04,350.0,362.6499938964844,346.0,357.3999938964844,12043621,0,0,344.0791040070022,345.98619900938485,2.5,2.4219799799058706,-1.9070950023826754,0.9131035909679781,-5.323066393703243,6.525733888027708,-1.1546597214112575
2021-03-05,352.0,354.3999938964844,343.04998779296875,346.3500061035156,5689037,0,0,344.42847356031194,346.01314768302416,-11.04998779296875,0.3493695533097707,-1.5846741227122152,0.026948673639310528,-3.4917691250948906,5.53752193496461,-0.9882119530630984
2021-03-08,351.0,356.45001220703125,347.1499938964844,351.8999938964844,4872019,0,0,345.5779382274154,346.4492103655027,5.54998779296875,1.149464667103473,-0.8712721380873063,0.43606268247856406,-2.4559462607995215,4.604271975589149,-0.9332499593754608
2021-03-09,354.0,357.8999938964844,345.79998779296875,350.8999938964844,5214028,0,0,346.3967160226568,346.7788980344643,-1.0,0.818777795241374,-0.3821820118075152,0.32968766896158286,-1.2534541498948215,3.7598539828328223,-0.8444179927563265
2021-03-10,354.0,355.70001220703125,348.04998779296875,349.70001220703125,3037997,0,0,346.90491543563746,346.99527686206187,-1.199981689453125,0.5081994129806731,-0.09036142642440836,0.21637882759756621,-0.4725434382319236,3.0259554715511396,-0.7338985112816827
2021-03-12,357.70001220703125,360.0,345.5,349.20001220703125,10034217,0,0,347.2580072466211,347.15859059131884,-0.5,0.35309181098364206,0.09941665530226373,0.16331372925696996,0.00905522887785537,2.400881046180459,-0.6250744253706806
2021-03-15,348.95001220703125,350.0,330.0,339.3999938964844,9256172,0,0,346.0490821158308,346.5838797250348,-9.800018310546875,-1.2089251307903055,-0.5347976092040199,-0.5747108662840219,-0.43538095390175613,2.0276643587851715,-0.37321668739528757
2021-03-16,343.75,345.0,334.5,339.5,5227735,0,0,345.04153102108756,346.05914789355074,0.100006103515625,-1.007551094743235,-1.0176168724631793,-0.5247318314840754,-1.5524144816671992,1.8256548615207733,-0.2020094972643982
2021-03-17,339.0,343.29998779296875,334.3999938964844,335.8999938964844,4202725,0,0,343.6351406942255,345.30661796784216,-3.600006103515625,-1.406390326862038,-1.671477273616631,-0.7525299257085862,-2.6890941460798103,1.794819343939945,-0.030835517580828364
2021-03-18,340.0,343.1000061035156,332.3999938964844,337.70001220703125,7645856,0,0,342.72204400388796,344.74316568926355,1.800018310546875,-0.9130966903375679,-2.02112168537559,-0.5634522785786089,-3.692598958992221,1.840079812227074,0.04526046828712915
2021-03-19,335.0,347.5,333.0,346.04998779296875,10449989,0,0,343.2340353560542,344.83996732657505,8.3499755859375,0.5119913521662625,-1.6059319705208281,0.0968016373115006,-3.627053655896418,1.793250243885825,-0.04682956834124896
2021-03-22,346.04998779296875,355.45001220703125,343.29998779296875,352.6000061035156,9247050,0,0,344.67495393258673,345.4147850137558,6.550018310546875,1.4409185765325105,-0.7398310811690862,0.5748176871807686,-2.3457630516899144,1.5825664113424776,-0.21068383254334755
2021-03-23,354.20001220703125,366.0,352.95001220703125,364.6499938964844,14375142,0,0,347.74803700395563,346.83961530136537,12.04998779296875,3.073083071368899,0.9084217025902603,1.4248302876095522,0.1685906214211741,1.0843687885559299,-0.49819762278654767
2021-03-24,365.0,371.0,355.45001220703125,357.45001220703125,10310319,0,0,349.24064857365954,347.625570627711,-7.199981689453125,1.4926115697039108,1.615077945948542,0.7859553263456291,2.5234996485388024,0.5444794416550356,-0.5398893469008943
2021-03-25,359.04998779296875,361.6499938964844,343.6000061035156,349.95001220703125,8907893,0,0,349.34978144033215,347.7977514854384,-7.5,0.10913286667260991,1.552029954893726,0.17218085772742597,3.167107900842268,0.12517756234528327,-0.4193018793097523
2021-03-26,355.25,358.8999938964844,344.1000061035156,345.6000061035156,6877101,0,0,348.7728929269757,347.6349555312219,-4.350006103515625,-0.5768885133564368,1.137937395753795,-0.16279595421650583,2.689967350647521,-0.1274454292745324,-0.25262299161981566
2021-03-30,350.20001220703125,352.29998779296875,335.1499938964844,336.45001220703125,8236867,0,0,346.87706512390736,346.8064412109115,-9.149993896484375,-1.8958278030683573,0.07062391299587034,-0.8285143203104326,1.2085613087496654,-0.1160811260188,0.0113643032557324
2021-03-31,337.0,343.5,335.0,338.8999938964844,5960197,0,0,345.6498233966115,346.2207784468798,2.449981689453125,-1.2272417272958478,-0.5709550502683101,-0.5856627640316674,-0.5003311372724397,0.021326109238622007,0.137407235257422
2021-04-01,341.95001220703125,354.95001220703125,339.0,350.8999938964844,5001602,0,0,346.4575419350535,346.5673869987024,12.0,0.8077185384419749,-0.10984506364889057,0.34660855182255546,-0.6808001139172006,0.039029900120675726,0.01770379088205372
2021-04-05,348.70001220703125,349.0,328.1499938964844,335.45001220703125,5421081,0,0,344.76407582305006,345.74387775487486,-15.449981689453125,-1.6934661120034207,-0.9798019318247952,-0.823509243827516,-1.0896469954736858,0.22718430646149962,0.1881544063408239
2021-04-06,338.0,341.5,332.5,337.6000061035156,3517178,0,0,343.661911250814,345.1406280029223,2.149993896484375,-1.1021645722360631,-1.478716752108312,-0.6032497519525464,-2.4585186839331072,0.4774907955908621,0.2503064891293625
2021-04-07,337.6000061035156,351.75,334.1000061035156,349.75,5974547,0,0,344.5985402891503,345.4820629656688,12.149993896484375,0.9366290383363207,-0.883522676518453,0.3414349627464617,-2.362239428626765,0.5586971717763803,0.08120637618551824
2021-04-08,350.8500061035156,360.1000061035156,348.79998779296875,355.04998779296875,6675404,0,0,346.2064552897378,346.1907981380614,5.29998779296875,1.607915000587468,0.015657151676407466,0.7087351723926076,-0.8678655248420455,0.44382630708582277,-0.11487086469055757
2021-04-09,354.45001220703125,364.79998779296875,351.5,358.95001220703125,6527786,0,0,348.1670025077829,347.13592510613324,3.9000244140625,1.9605472180451216,1.031077401649668,0.945126968071861,1.0467345533260755,0.14884556533872464,-0.2949807417470981
2021-04-12,349.8999938964844,349.8999938964844,317.45001220703125,327.54998779296875,10476624,0,0,344.9951540901192,345.68511493478775,-31.4000244140625,-3.171848417663739,-0.6899608446685761,-1.4508101713454948,0.3411165569810919,0.2570686212046949,0.10822305586597028
2021-04-13,334.79998779296875,341.0,318.6000061035156,331.8999938964844,12109901,0,0,342.9805140603292,344.6639948578764,4.350006103515625,-2.014640029789973,-1.6834807975471904,-1.0211200769113589,-2.3734416422157665,0.542351056473194,0.2852824352684991
2021-04-15,330.6000061035156,335.79998779296875,320.1000061035156,326.20001220703125,11119030,0,0,340.39889839059106,343.29629243929526,-5.699981689453125,-2.5816156697381416,-2.8973940487042,-1.367702418581132,-4.58087484625139,1.0133596549193953,0.47100859844620124
2021-04-16,328.0,329.8999938964844,320.5,322.6499938964844,5460055,0,0,337.66829769919,341.76693699167964,-3.550018310546875,-2.730600691401037,-4.098639292489622,-1.5293554476156146,-6.996033341193822,1.6304155824334408,0.6170559275140455
2021-04-19,306.1499938964844,314.0,302.5,304.8999938964844,10616671,0,0,332.62702019108144,339.0360523179615,-17.75,-5.041277508108578,-6.409032126880049,-2.730884673718151,-10.507671419369672,2.5861388913227628,0.955723308889322
2021-04-20,310.95001220703125,315.0,305.54998779296875,309.1499938964844,6766422,0,0,329.01516999191267,336.82227021266687,4.25,-3.611850199168771,-7.807100220754194,-2.2137821052946265,-14.216132347634243,3.6303311572090493,1.0441922658862866
2021-04-22,308.75,311.70001220703125,301.70001220703125,309.5,8713619,0,0,326.01283614700304,334.7983983450619,0.350006103515625,-3.0023338449096286,-8.78556219805887,-2.023871867604953,-16.592662418813063,4.661377365379014,1.0310462081699647
2021-04-23,309.1000061035156,317.70001220703125,305.1000061035156,313.45001220703125,7388454,0,0,324.080094002392,333.2170364089115,3.95001220703125,-1.9327421446110407,-9.136942406519495,-1.5813619361504152,-17.922504604578364,5.55649037360711,0.8951130082280958
2021-04-26,318.0,318.1499938964844,310.54998779296875,313.1499938964844,4359029,0,0,322.39854013994466,331.7305888153984,-0.300018310546875,-1.6815538624473447,-9.332048675453734,-1.4864475935131054,-18.46899108197323,6.311602033976435,0.7551116603693249
2021-04-27,313.0,319.8999938964844,311.0,318.8999938964844,4919711,0,0,321.8603022563354,330.7801743769603,5.75,-0.5382378836092698,-8.919872120624916,-0.9504144384380879,-18.25192079607865,6.833256051306131,0.5216540173296966
2021-04-28,320.0,330.5,313.79998779296875,328.5,10820190,0,0,322.88179421689915,330.6112725712595,9.600006103515625,1.0214919605637647,-7.729478354360367,-0.16890180570078428,-16.649350474985283,7.012500511916978,0.17924446061084698
2021-04-29,329.75,333.79998779296875,324.5,332.1000061035156,7633906,0,0,324.29998066099404,330.72154912920445,3.600006103515625,1.4181864440948857,-6.42156846821041,0.1102765579449283,-14.151046822570777,6.894314103175665,-0.11818640874131336
2021-04-30,327.0,339.95001220703125,324.70001220703125,329.75,8961859,0,0,325.13844517468726,330.64958252704116,-2.350006103515625,0.8384645136932249,-5.511137352353899,-0.0719666021632861,-11.932705820564308,6.617678753011312,-0.27663535016435326
2021-05-03,324.8999938964844,330.0,314.3999938964844,318.8500061035156,13743805,0,0,324.1709930098916,329.7755398290022,-10.899993896484375,-0.9674521647956453,-5.604546819110567,-0.874042698038977,-11.115684171464466,6.415052366231164,-0.20262638678014788
2021-05-04,322.0,326.5,314.04998779296875,317.6499938964844,7245326,0,0,323.1677623770598,328.87735124140823,-1.20001220703125,-1.003230632831844,-5.709588864348461,-0.8981885875939497,-11.314135683459028,6.2739596658546235,-0.14109270037654031
2021-05-05,321.0,322.20001220703125,310.20001220703125,311.25,9773654,0,0,321.33426047289674,327.57162151982243,-6.399993896484375,-1.833501904163029,-6.237361046925685,-1.3057297215858057,-11.946949911274146,6.266639942068836,-0.007319723785787602
2021-05-06,312.8999938964844,312.8999938964844,293.6000061035156,294.75,23749358,0,0,317.24437424629724,325.14039029613184,-16.5,-4.0898862265995035,-7.8960160498346,-2.431231223690588,-14.133377096760285,6.592515163621989,0.3258752215531535
2021-05-07,297.0,302.6499938964844,291.25,297.3500061035156,21065285,0,0,314.18370222433083,323.081843318901,2.600006103515625,-3.060672021966411,-8.898141094570178,-2.058546977230833,-16.794157144404778,7.053640349811628,0.4611251861896388
2021-05-10,285.0,304.8999938964844,285.0,295.95001220703125,35676993,0,0,311.3785191447463,321.0720780513551,-1.399993896484375,-2.8051830795845376,-9.693558906608814,-2.0097652675459017,-18.591700001178992,7.581624061171066,0.5279837113594379
2021-05-11,289.0,294.79998779296875,286.1499938964844,290.95001220703125,11212974,0,0,308.2356719235594,318.84081391473853,-5.0,-3.142847221186912,-10.605141991179153,-2.2312641366165735,-20.298700897787967,8.186327647172684,0.6047035860016177
2021-05-12,291.25,292.29998779296875,286.20001220703125,288.1499938964844,7804191,0,0,305.1455676117017,316.5674198393123,-2.800018310546875,-3.090104311857658,-11.4218522276106,-2.2733940754262107,-22.026994218789753,8.833432563260267,0.6471049160875832
2021-05-14,288.25,288.6499938964844,280.0,280.54998779296875,13164810,0,0,301.36163225497353,313.8994619099536,-7.600006103515625,-3.7839353567281933,-12.537829654980044,-2.6679579293587494,-23.959681882590644,9.574311981604222,0.7408794183439547
2021-05-17,284.5,285.3999938964844,278.70001220703125,284.29998779296875,11223959,0,0,298.73676387620355,311.7069082716584,3.75,-2.6248683787699747,-12.970144395454838,-2.1925536382951805,-25.507974050434882,10.253478464374346,0.6791664827701247
2021-05-18,288.25,295.95001220703125,287.6499938964844,291.20001220703125,10628176,0,0,297.5772636194078,310.18787893353783,6.9000244140625,-1.1595002567957522,-12.61061531413003,-1.5190293381205606,-25.580759709584868,10.724905834325483,0.47142736995113665
