Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,2808.0,2949.0,2805.0,2898.449951171875,868534,0,0,0.0,0.0,,,,,,,
2021-01-05,2890.0,3064.0,2810.10009765625,2991.14990234375,808892,0,0,0.0,0.0,,,,,,,
2021-01-06,3006.449951171875,3100.0,2832.800048828125,2914.949951171875,1112886,0,0,0.0,0.0,-76.199951171875,,,,,,
2021-01-07,2971.699951171875,3008.0,2880.0,2921.449951171875,872261,0,0,0.0,0.0,6.5,,,,,,
2021-01-08,2949.89990234375,2999.0,2932.25,2967.5,742344,0,0,0.0,0.0,46.050048828125,,,,,,
2021-01-11,3137.0,3137.0,2940.0,2984.85009765625,1845898,0,0,0.0,0.0,17.35009765625,,,,,,
2021-01-12,2959.0,3009.5,2939.449951171875,2998.199951171875,1081702,0,0,0.0,0.0,13.349853515625,,,,,,
2021-01-13,3001.0,3008.64990234375,2878.5,2926.10009765625,421057,0,0,0.0,0.0,-72.099853515625,,,,,,
2021-01-14,2939.0,2940.0,2875.25,2895.550048828125,340922,0,0,0.0,0.0,-30.550048828125,,,,,,
2021-01-15,2904.0,2920.0,2801.0,2820.949951171875,356133,0,0,0.0,0.0,-74.60009765625,,,,,,
2021-01-18,2800.0,2829.89990234375,2715.0,2744.89990234375,518632,0,0,0.0,0.0,-76.050048828125,,,,,,
2021-01-19,2754.89990234375,2818.60009765625,2750.0,2778.39990234375,317833,0,0,2903.5374755859375,0.0,33.5,,,,,,
2021-01-20,2797.85009765625,2798.0,2740.10009765625,2764.949951171875,303828,0,0,2882.216317983774,0.0,-13.449951171875,-21.321157602163566,,,,,
2021-01-21,2775.0,2802.949951171875,2701.0,2719.14990234375,342825,0,0,2857.129177116078,0.0,-45.800048828125,-25.08714086769578,,,,,
2021-01-22,2730.10009765625,2899.0,2730.0,2862.75,1027906,0,0,2857.99391909822,0.0,143.60009765625,0.8647419821418225,,,,,
2021-01-25,2894.0,2940.64990234375,2805.39990234375,2837.0,460306,0,0,2854.7640853908015,0.0,-25.75,-3.229833707418493,,,,,
2021-01-27,2850.699951171875,2889.550048828125,2790.0,2811.75,550088,0,0,2848.1465337922164,0.0,-25.25,-6.617551598585123,,,,,
2021-01-28,2812.0,2879.75,2771.0,2794.449951171875,620348,0,0,2839.8855210813945,0.0,-17.300048828125,-8.261012710821888,,,,,
2021-01-29,2825.0,2836.0,2610.0,2651.5,900893,0,0,2810.9031332227187,0.0,-142.949951171875,-28.982387858675793,,,,,
2021-02-01,2700.0,2894.0,2640.0,2812.0,1120547,0,0,2811.071881957685,0.0,160.5,0.168748734966357,,,,,
2021-02-02,2820.5,2907.0,2781.699951171875,2869.10009765625,837632,0,0,2819.9992997574645,0.0,57.10009765625,8.927417799779505,,,,,
2021-02-03,2864.800048828125,2945.75,2825.199951171875,2877.0,575810,0,0,2828.768638256316,0.0,7.89990234375,8.769338498851539,,,,,
2021-02-04,2891.35009765625,2975.0,2871.0,2959.85009765625,592418,0,0,2848.9350166255367,0.0,82.85009765625,20.166378369220638,,,,,
