Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,2591.0,2670.0,2580.0,2655.699951171875,3287511,0,0,0.0,0.0,,,,,,,
2021-01-05,2630.0,2685.0,2616.0,2674.89990234375,1494362,0,0,0.0,0.0,,,,,,,
2021-01-06,2668.0,2672.0,2610.0,2645.35009765625,949386,0,0,0.0,0.0,-29.5498046875,,,,,,
2021-01-07,2660.0,2715.64990234375,2640.75,2649.800048828125,1250528,0,0,0.0,0.0,4.449951171875,,,,,,
2021-01-08,2661.0,2771.300048828125,2661.0,2760.85009765625,2585123,0,0,0.0,0.0,111.050048828125,,,,,,
2021-01-11,2767.0,2808.64990234375,2726.699951171875,2777.14990234375,1616318,0,0,0.0,0.0,16.2998046875,,,,,,
2021-01-12,2777.199951171875,2949.0,2777.199951171875,2881.64990234375,4829997,0,0,0.0,0.0,104.5,,,,,,
2021-01-13,2869.5,2910.39990234375,2836.64990234375,2868.64990234375,1878124,0,0,0.0,0.0,-13.0,,,,,,
2021-01-14,2880.0,2906.949951171875,2841.0,2886.60009765625,1159961,0,0,0.0,0.0,17.9501953125,,,,,,
2021-01-15,2880.0,2902.0,2840.0,2857.300048828125,882692,0,0,0.0,0.0,-29.300048828125,,,,,,
2021-01-18,2853.14990234375,2912.699951171875,2815.0,2873.0,2069601,0,0,0.0,0.0,15.699951171875,,,,,,
2021-01-19,2888.0,2929.0,2852.14990234375,2883.5,1447495,0,0,2784.5374959309897,0.0,10.5,,,,,,
2021-01-20,2887.199951171875,2964.0,2865.64990234375,2881.550048828125,1760329,0,0,2799.4625040690103,0.0,-1.949951171875,14.92500813802053,,,,,
2021-01-21,2896.0,2955.0,2895.050048828125,2926.60009765625,1451173,0,0,2819.0221338516626,0.0,45.050048828125,19.559629782652337,,,,,
2021-01-22,2900.0,3037.0,2900.0,2972.60009765625,3091826,0,0,2842.649512898522,0.0,46.0,23.62737904685946,,,,,
2021-01-25,3029.949951171875,3029.949951171875,2851.25,2869.550048828125,2024082,0,0,2846.7880568876917,0.0,-103.050048828125,4.138543989169648,,,,,
