Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,124.05000305175781,129.60000610351562,122.0,127.25,753735,0,0,0.0,0.0,,,,,,,
2021-01-05,126.94999694824219,134.8000030517578,125.0,132.75,1479109,0,0,0.0,0.0,,,,,,,
2021-01-06,132.5,140.0500030517578,131.6999969482422,138.35000610351562,1550048,0,0,0.0,0.0,5.600006103515625,,,,,,
2021-01-07,142.5,144.0,139.10000610351562,139.89999389648438,578105,0,0,0.0,0.0,1.54998779296875,,,,,,
2021-01-08,142.0,142.0,134.8000030517578,136.0500030517578,362098,0,0,0.0,0.0,-3.8499908447265625,,,,,,
2021-01-11,138.0,139.5,133.0,134.3000030517578,255800,0,0,0.0,0.0,-1.75,,,,,,
2021-01-12,134.3000030517578,141.1999969482422,134.25,137.89999389648438,375200,0,0,0.0,0.0,3.5999908447265625,,,,,,
2021-01-13,138.89999389648438,139.0,129.5,133.6999969482422,347317,0,0,0.0,0.0,-4.1999969482421875,,,,,,
2021-01-14,134.39999389648438,143.0,133.89999389648438,140.6999969482422,837264,0,0,0.0,0.0,7.0,,,,,,
2021-01-15,141.5,147.0,139.64999389648438,144.89999389648438,1376946,0,0,0.0,0.0,4.1999969482421875,,,,,,
2021-01-18,146.0500030517578,146.75,132.0,137.85000610351562,668554,0,0,0.0,0.0,-7.04998779296875,,,,,,
2021-01-19,140.1999969482422,143.8000030517578,140.14999389648438,141.35000610351562,329803,0,0,137.08333333333334,0.0,3.5,,,,,,
2021-01-20,141.35000610351562,143.85000610351562,140.5,141.10000610351562,215715,0,0,137.70128299028445,0.0,-0.25,0.6179496569511116,,,,,
2021-01-21,142.10000610351562,147.64999389648438,141.1999969482422,143.85000610351562,732165,0,0,138.64724039232001,0.0,2.75,0.9459574020355603,,,,,
2021-01-22,145.4499969482422,149.0,131.5,133.10000610351562,1371639,0,0,137.79381973250395,0.0,-10.75,-0.8534206598160665,,,,,
2021-01-25,137.0500030517578,151.0,128.25,138.4499969482422,2747460,0,0,137.89477007338675,0.0,5.3499908447265625,0.10095034088280386,,,,,
2021-01-27,142.0,149.0,138.0,144.85000610351562,1196942,0,0,138.96480638571427,0.0,6.4000091552734375,1.0700363123275167,,,,,
2021-01-28,143.4499969482422,146.5,142.0,144.4499969482422,296922,0,0,139.8086818568724,0.0,-0.4000091552734375,0.8438754711581282,,,,,
2021-01-29,145.10000610351562,145.89999389648438,138.10000610351562,142.0,276907,0,0,140.14580772504587,0.0,-2.4499969482421875,0.337125868173473,,,,,
2021-02-01,142.9499969482422,144.4499969482422,137.64999389648438,141.5500030517578,326434,0,0,140.36183777530925,0.0,-0.4499969482421875,0.2160300502633845,,,,,
