Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,38.5,38.95000076293945,36.599998474121094,36.900001525878906,15023736,0,0,0.0,0.0,,,,,,,
2021-01-05,36.900001525878906,38.349998474121094,36.70000076293945,38.0,8681244,0,0,0.0,0.0,,,,,,,
2021-01-06,38.25,38.70000076293945,36.900001525878906,38.25,12577233,0,0,0.0,0.0,0.25,,,,,,
2021-01-07,39.0,45.70000076293945,38.599998474121094,43.0,140397270,0,0,0.0,0.0,4.75,,,,,,
2021-01-08,44.5,45.400001525878906,42.25,43.150001525878906,45750483,0,0,0.0,0.0,0.15000152587890625,,,,,,
2021-01-11,43.70000076293945,43.849998474121094,41.45000076293945,42.349998474121094,13298632,0,0,0.0,0.0,-0.8000030517578125,,,,,,
2021-01-12,42.45000076293945,45.0,41.70000076293945,43.75,22448869,0,0,0.0,0.0,1.4000015258789062,,,,,,
2021-01-13,44.349998474121094,45.5,41.70000076293945,43.29999923706055,20688520,0,0,0.0,0.0,-0.4500007629394531,,,,,,
2021-01-14,43.150001525878906,43.900001525878906,42.650001525878906,43.150001525878906,7665748,0,0,0.0,0.0,-0.14999771118164062,,,,,,
2021-01-15,43.54999923706055,45.0,42.650001525878906,44.70000076293945,27037617,0,0,0.0,0.0,1.5499992370605469,,,,,,
2021-01-18,45.29999923706055,45.29999923706055,42.29999923706055,43.099998474121094,11787670,0,0,0.0,0.0,-1.6000022888183594,,,,,,
2021-01-19,43.75,45.70000076293945,43.5,45.25,20168567,0,0,42.07500012715658,0.0,2.1500015258789062,,,,,,
2021-01-20,45.29999923706055,46.20000076293945,43.900001525878906,45.400001525878906,21923781,0,0,42.58653880388309,0.0,0.15000152587890625,0.5115386767265093,,,,,
2021-01-21,45.54999923706055,45.75,42.20000076293945,42.70000076293945,15492496,0,0,42.60399448989176,0.0,-2.700000762939453,0.017455686008673865,,,,,
2021-01-22,43.29999923706055,43.650001525878906,40.849998474121094,41.95000076293945,11421099,0,0,42.503380070360635,0.0,-0.75,-0.10061441953112649,,,,,
2021-01-25,42.400001525878906,44.0,40.599998474121094,42.20000076293945,9609072,0,0,42.45670633075737,0.0,0.25,-0.04667373960326415,,,,,
2021-01-27,42.29999923706055,43.849998474121094,41.150001525878906,43.54999923706055,11147878,0,0,42.6249052394194,0.0,1.3499984741210938,0.1681989086620277,,,,,
2021-01-28,42.349998474121094,44.79999923706055,42.29999923706055,43.75,11757770,0,0,42.797996741047186,0.0,0.20000076293945312,0.17309150162778764,,,,,
2021-01-29,44.0,44.400001525878906,42.650001525878906,43.75,7264742,0,0,42.94445878088608,0.0,0.0,0.1464620398388945,,,,,
2021-02-01,44.0,44.0,41.849998474121094,43.400001525878906,10773625,0,0,43.01454228011574,0.0,-0.34999847412109375,0.07008349922966062,,,,,
2021-02-02,43.900001525878906,44.349998474121094,42.79999923706055,43.45000076293945,9249123,0,0,43.08153589285785,0.0,0.049999237060546875,0.06699361274210958,,,,,
2021-02-03,43.849998474121094,44.25,43.349998474121094,43.900001525878906,11618975,0,0,43.2074536825534,0.0,0.4500007629394531,0.12591778969554923,,,,,
2021-02-04,43.29999923706055,44.79999923706055,43.29999923706055,44.0,10151199,0,0,43.32938388523749,0.0,0.09999847412109375,0.12193020268409072,,,,,
2021-02-05,44.25,45.20000076293945,42.75,43.099998474121094,8207123,0,0,43.29409382198882,0.0,-0.9000015258789062,-0.035290063248673675,,,,,
2021-02-08,43.5,43.900001525878906,43.04999923706055,43.70000076293945,4392137,0,0,43.35654104367353,0.0,0.6000022888183594,0.06244722168471384,,,,,
2021-02-09,43.900001525878906,46.400001525878906,43.04999923706055,45.04999923706055,25446896,0,0,43.617073073425374,42.8769233410175,1.3499984741210938,0.2605320297518432,-0.7401497324078719,,,,
2021-02-10,45.20000076293945,48.0,44.349998474121094,47.150001525878906,33436400,0,0,44.160600527648995,43.19344765100723,2.1000022888183594,0.5435274542236215,0.9671528766417623,0.316524309989731,1.7073026090496342,0.0,
2021-02-11,47.150001525878906,50.70000076293945,46.75,50.099998474121094,31217984,0,0,45.07435405787547,43.705044008274925,2.9499969482421875,0.9137535302264723,1.3693100496005428,0.5115963572676918,2.336462926242305,0.0,
2021-02-12,51.0,51.45000076293945,50.0,50.599998474121094,22814302,0,0,45.92445319883633,44.21578137611538,0.5,0.8500991409608645,1.7086718227209516,0.5107373678404556,3.0779818723214944,0.0,
2021-02-15,50.0,50.0,48.099998474121094,49.150001525878906,20934460,0,0,46.42069140299673,44.58127916498675,-1.4499969482421875,0.49623820416039877,1.8394122380099773,0.3654977888713731,3.548084060730929,0.0,
2021-02-16,49.5,49.70000076293945,47.29999923706055,47.849998474121094,8753197,0,0,46.64058479855433,44.82340652121893,-1.3000030517578125,0.21989339555759813,1.817178277335401,0.2421273562321744,3.6565905153453784,0.0,
2021-02-17,48.150001525878906,51.25,47.650001525878906,48.900001525878906,16702308,0,0,46.98818737198888,45.125376521564114,1.0500030517578125,0.3476025734345498,1.862810850424765,0.30197000034518595,3.679989127760166,0.0,
2021-02-18,49.5,50.70000076293945,49.20000076293945,49.849998474121094,15410416,0,0,47.42846600308614,45.47534851804981,0.9499969482421875,0.4402786310972644,1.95311748503633,0.3499719964856993,3.815928335461095,0.0,
2021-02-19,50.0,55.0,49.5,52.150001525878906,42317631,0,0,48.154856083515796,45.96976725937049,2.3000030517578125,0.7263900804296526,2.1850888241453035,0.4944187413206791,4.1382063091816335,0.0,
2021-02-22,52.70000076293945,54.25,51.099998474121094,51.75,17747029,0,0,48.70795514759028,46.39793264756527,-0.40000152587890625,0.5530990640744875,2.3100225000250134,0.42816538819477756,4.495111324170317,-1.6047657951469896,
2021-02-23,52.150001525878906,53.900001525878906,51.75,53.20000076293945,12561386,0,0,49.39903908841323,46.9017895450004,1.4500007629394531,0.6910839408229492,2.497249543412835,0.5038568974351278,4.807272043437848,-1.7832625448001587,-0.17849674965316908
2021-02-24,53.650001525878906,56.5,53.349998474121094,56.099998474121094,18723790,0,0,50.42995591698367,47.583138354564895,2.8999977111816406,1.0309168285704402,2.846817562418778,0.6813488095644971,5.344067105831613,-1.9959735483238825,-0.21271100352372385
2021-02-25,56.79999923706055,57.0,55.29999923706055,56.45000076293945,12982961,0,0,51.35611666251533,48.23994297740746,0.3500022888183594,0.9261607455316607,3.1161736851078743,0.6568046228425644,5.962991247526652,-2.220013575680681,-0.22404002735679862
2021-02-26,54.75,56.75,53.0,54.900001525878906,16619913,0,0,51.90132971841742,48.73328064766461,-1.5499992370605469,0.5452130559020887,3.168049070752815,0.4933376702571479,6.284222755860689,-2.409620674695108,-0.18960709901442696
2021-03-01,55.45000076293945,55.599998474121094,53.900001525878906,54.29999923706055,6220331,0,0,52.270355798208676,49.14563017280504,-0.6000022888183594,0.36902607979125435,3.1247256254036344,0.412349525140435,6.2927746961564495,-2.5526416648368135,-0.14302099014170544
2021-03-02,54.650001525878906,55.599998474121094,54.099998474121094,54.5,5438212,0,0,52.61337798309965,49.54225016000467,0.20000076293945312,0.3430221848909767,3.071127823094983,0.3966199871996281,6.195853448498617,-2.656338896488448,-0.10369723165163425
2021-03-03,55.0,56.45000076293945,54.54999923706055,55.54999923706055,9129353,0,0,53.0651658683244,49.98726861015696,1.0499992370605469,0.45178788522474633,3.0778972581674395,0.4450184501522898,6.1490250812624225,-2.740650568824246,-0.08431167233579817
2021-03-04,55.45000076293945,57.400001525878906,54.54999923706055,55.5,11406998,0,0,53.43975573473603,50.395619083478664,-0.049999237060546875,0.3745898664116325,3.044136651257368,0.40835047332170404,6.1220339094248075,-2.8013477853108704,-0.060697216486624406
2021-03-05,55.75,58.95000076293945,55.29999923706055,56.25,17426196,0,0,53.872101006315106,50.82927692914691,0.75,0.43234527157907365,3.0428240771681985,0.43365784566824317,6.0869607284255665,-2.849643043682336,-0.04829525837146553
2021-03-08,57.0,57.45000076293945,55.099998474121094,56.0,5716408,0,0,54.19947008226663,51.2122934529138,-0.25,0.3273690759515233,2.987176629352831,0.38301652376689077,6.0300007065210295,-2.877149760816435,-0.027506717134099024
2021-03-09,56.5,56.599998474121094,52.150001525878906,54.20000076293945,7052670,0,0,54.19955172544706,51.43360510550829,-1.7999992370605469,8.16431804295803e-05,2.7659466199387666,0.22131165259449403,5.753123249291598,-2.854909132640901,0.02224062817553385
2021-03-10,54.900001525878906,54.900001525878906,52.5,53.04999923706055,7284094,0,0,54.02269749646452,51.55333800414179,-1.1500015258789062,-0.17685422898254188,2.469359492322724,0.1197328986335009,5.23530611226149,-2.7777992045772657,0.07710992806363537
2021-03-12,53.650001525878906,55.79999923706055,52.099998474121094,55.0,9781497,0,0,54.17305172777767,51.808646300131294,1.9500007629394531,0.15035423131315184,2.364405427646375,0.2553082959895008,4.833764919969099,-2.6951204491910876,0.08267875538617808
2021-03-15,55.29999923706055,55.5,52.5,54.29999923706055,6063717,0,0,54.19258211382119,51.99319096212605,-0.7000007629394531,0.01953038604352031,2.1993911516951385,0.1845446619947566,4.563796579341513,-2.595974589691898,0.09914585949918964
2021-03-16,54.5,55.599998474121094,53.70000076293945,55.0,6050752,0,0,54.31680025015639,52.21591755752412,0.7000007629394531,0.12421813633520173,2.1008826926322683,0.22272659539807194,4.300273844327407,-2.496956210279972,0.09901837941192593
2021-03-17,55.0,55.29999923706055,52.5,52.75,4625216,0,0,54.07575405782463,52.25547921992974,-2.25,-0.2410461923317584,1.8202748378948925,0.039561662405617426,3.921157530527161,-2.361619935802956,0.1353362744770159
2021-03-18,53.29999923706055,54.150001525878906,50.099998474121094,51.29999923706055,6624564,0,0,53.64871485463016,52.18470292490239,-1.4500007629394531,-0.4270392031944752,1.4640119297277678,-0.0707762950273505,3.2842867676226604,-2.1820983345879186,0.17952160121503757
2021-03-19,50.900001525878906,51.25,47.54999923706055,50.400001525878906,9738882,0,0,53.14891280405304,52.05250282127102,-0.8999977111816406,-0.4998020505771166,1.0964099827820206,-0.13220010363136936,2.5604219125097885,-1.964960664226739,0.2171376703611796
2021-03-22,50.400001525878906,51.349998474121094,49.849998474121094,50.45000076293945,1933725,0,0,52.733695566958644,51.93379896509831,0.049999237060546875,-0.41521723709439584,0.7998966018603326,-0.11870385617270784,1.8963065846423532,-1.731947851753458,0.2330128124732811
2021-03-23,50.04999923706055,53.45000076293945,50.04999923706055,52.95000076293945,4620262,0,0,52.76697328941723,52.00907317234581,2.5,0.0332777224585854,0.7579001170714221,0.0752742072474959,1.5577967189317548,-1.5371383048170508,0.19480954693640706
2021-03-24,51.5,52.650001525878906,49.0,49.75,5308741,0,0,52.30282355258381,51.84173441883871,-3.200000762939453,-0.46414973683342,0.46108913374509797,-0.16733875350709582,1.21898925081652,-1.3219284706026604,0.21520983421439044
2021-03-25,49.900001525878906,49.900001525878906,47.349998474121094,48.25,6518182,0,0,51.67931223680168,51.575680017443254,-1.5,-0.6235113157821317,0.10363221935842404,-0.2660544013954578,0.564721353103522,-1.0782692203538131,0.24365925024884727
2021-03-26,48.75,49.400001525878906,47.25,47.54999923706055,3475428,0,0,51.04403331376458,51.27748144111861,-0.7000007629394531,-0.6352789230370988,-0.23344812735403053,-0.2981985763246442,-0.1298159079956065,-0.8159257508122444,0.26234346954156873
2021-03-30,48.04999923706055,48.900001525878906,46.95000076293945,47.400001525878906,4189797,0,0,50.483413038705244,50.99026070665641,-0.14999771118164062,-0.5606202750593354,-0.5068476679511633,-0.28722073446220264,-0.7402957953051938,-0.5513710670595628,0.26455468375268154
2021-03-31,47.54999923706055,48.5,46.099998474121094,47.349998474121094,4433513,0,0,50.00134925953845,50.72061165239453,-0.0500030517578125,-0.48206377916679344,-0.7192623928560806,-0.26964905426187613,-1.226110060807244,-0.29724437507643414,0.2541266919831287
2021-04-01,47.900001525878906,48.400001525878906,47.400001525878906,47.70000076293945,4058499,0,0,49.647295644677065,50.49686269762008,0.3500022888183594,-0.3540536148613853,-0.8495670529430157,-0.22374895477445023,-1.5688294457990963,-0.06788208947254418,0.22936228560388996
2021-04-05,47.79999923706055,48.0,45.599998474121094,47.5,3363476,0,0,49.3169424685729,50.274872868166746,-0.20000076293945312,-0.33035317610416826,-0.9579303995938488,-0.22198982945333512,-1.8074974525368646,0.13728040834073443,0.2051624978132786
2021-04-06,47.650001525878906,50.599998474121094,47.599998474121094,49.5,3699811,0,0,49.34510516571552,50.21747487793217,2.0,0.028162697142626314,-0.8723697122166456,-0.05739799023457692,-1.8303001118104945,0.2842982691159167,0.14701786077518228
2021-04-07,50.099998474121094,51.0,49.20000076293945,50.20000076293945,5256103,0,0,49.47662756528844,50.21618049904382,0.7000007629394531,0.13152239957291556,-0.7395529337553839,-0.0012943788883461593,-1.6119226459720295,0.37534920204381017,0.09105093292789346
2021-04-08,50.650001525878906,50.900001525878906,49.400001525878906,50.0,3588845,0,0,49.55714640139791,50.200167128744276,-0.20000076293945312,0.0805188361094693,-0.643020727346368,-0.016013370299546636,-1.3825736611017518,0.42888350710432177,0.0535343050605116
2021-04-09,49.54999923706055,51.79999923706055,49.349998474121094,50.150001525878906,4453225,0,0,49.64835488208729,50.19645115816166,0.15000152587890625,0.09120848068938159,-0.548096276074368,-0.003715970582618411,-1.191117003420736,0.452726060898331,0.023842553794009236
