Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,3729.60009765625,3909.89990234375,3709.449951171875,3845.35009765625,373949,0,0,0.0,0.0,,,,,,,
2021-01-05,3845.0,4198.89990234375,3803.0,4129.35009765625,840857,0,0,0.0,0.0,,,,,,,
2021-01-06,4147.0,4159.0,3935.0,3956.89990234375,597076,0,0,0.0,0.0,-172.4501953125,,,,,,
2021-01-07,3998.050048828125,4029.0,3870.0,3882.89990234375,363617,0,0,0.0,0.0,-74.0,,,,,,
2021-01-08,3920.85009765625,4114.0,3920.0,4092.199951171875,582258,0,0,0.0,0.0,209.300048828125,,,,,,
2021-01-11,4150.0,4280.0,4065.0,4245.14990234375,426541,0,0,0.0,0.0,152.949951171875,,,,,,
2021-01-12,4225.25,4444.0,4170.0,4285.14990234375,559357,0,0,0.0,0.0,40.0,,,,,,
2021-01-13,4300.0,4435.0,4271.0,4402.4501953125,376243,0,0,0.0,0.0,117.30029296875,,,,,,
2021-01-14,4420.0,4480.0,4338.0,4390.7001953125,322695,0,0,0.0,0.0,-11.75,,,,,,
2021-01-15,4430.0,4483.0,4200.0,4287.85009765625,219119,0,0,0.0,0.0,-102.85009765625,,,,,,
2021-01-18,4289.9501953125,4292.0,3968.60009765625,4008.85009765625,194306,0,0,0.0,0.0,-279.0,,,,,,
2021-01-19,4087.0,4169.7998046875,4051.699951171875,4091.35009765625,432450,0,0,4134.850036621094,0.0,82.5,,,,,,
2021-01-20,4107.0,4240.10009765625,4062.0,4090.949951171875,233400,0,0,4128.096177321214,0.0,-0.400146484375,-6.753859299879878,,,,,
2021-01-21,4170.0,4179.9501953125,3960.0,3979.35009765625,193223,0,0,4105.212165065065,0.0,-111.599853515625,-22.884012256148708,,,,,
2021-01-22,3970.0,4028.800048828125,3910.0,3929.449951171875,147463,0,0,4078.171824466113,0.0,-49.900146484375,-27.040340598952298,,,,,
2021-01-25,3954.0,3995.89990234375,3870.0,3893.85009765625,173743,0,0,4049.814635726134,0.0,-35.599853515625,-28.357188739978938,,,,,
2021-01-27,3913.699951171875,4115.0,3850.0,4025.800048828125,349263,0,0,4046.120083895671,0.0,131.949951171875,-3.694551830462842,,,,,
2021-01-28,3990.0,4049.949951171875,3950.0,3970.85009765625,117674,0,0,4034.5400860126833,0.0,-54.949951171875,-11.579997882987755,,,,,
2021-01-29,4006.60009765625,4048.550048828125,3780.0,3963.89990234375,236889,0,0,4023.672365448232,0.0,-6.9501953125,-10.867720564451247,,,,,
2021-02-01,3997.0,4010.0,3905.0,3937.64990234375,128714,0,0,4010.438140355235,0.0,-26.25,-13.234225092996894,,,,,
2021-02-02,3977.25,4100.0,3951.0,4038.550048828125,158015,0,0,4014.763049351064,0.0,100.900146484375,4.3249089958289915,,,,,
2021-02-03,4050.0,4347.0,4038.550048828125,4305.5,343177,0,0,4059.4918109893624,0.0,266.949951171875,44.72876163829824,,,,,
2021-02-04,4317.0,4379.9501953125,4252.14990234375,4303.7001953125,146650,0,0,4097.062331654461,0.0,-1.7998046875,37.57052066509823,,,,,
2021-02-05,4301.0,4320.0,4118.60009765625,4124.64990234375,142196,0,0,4101.306573298967,0.0,-179.05029296875,4.244241644506474,,,,,
2021-02-08,4161.7998046875,4165.39990234375,4075.0,4101.89990234375,111277,0,0,4101.397854690473,0.0,-22.75,0.09128139150561765,,,,,
2021-02-09,4121.7001953125,4169.85009765625,4046.39990234375,4067.800048828125,90282,0,0,4096.228961480881,4090.4654071514424,-34.099853515625,-5.16889320959217,-5.763554329438193,,,,
2021-02-10,4075.0,4100.0,3957.800048828125,3999.89990234375,109185,0,0,4081.4091062290145,4083.7568512397615,-67.900146484375,-14.819855251866102,-2.347745010747076,-6.708555911680833,3.4158093186911174,0.0,
2021-02-11,3983.0,4049.89990234375,3980.0,4026.35009765625,87408,0,0,4072.938489525512,4079.5044991224645,26.4501953125,-8.470616703502401,-6.566009596952426,-4.25235211729705,-8.913754607699502,0.0,
2021-02-12,4026.35009765625,4077.699951171875,3990.0,4039.89990234375,65326,0,0,4067.8556299590873,4076.5708252870045,13.5498046875,-5.082859566424759,-8.715195327917172,-2.933673835460013,-15.281204924869598,0.0,
2021-02-15,4060.0,4075.0,4001.0,4032.199951171875,69804,0,0,4062.3701409149007,4073.284093871069,-7.699951171875,-5.485489044186579,-10.913952956168487,-3.2867314159352645,-19.62914828408566,0.0,
2021-02-16,4033.949951171875,4058.0,3920.0,3944.949951171875,92060,0,0,4044.3054963390505,4063.7778610785363,-87.25,-18.064644575850252,-19.472364739485784,-9.506232792532956,-30.38631769565427,0.0,
2021-02-17,3956.0,3974.550048828125,3867.0,3875.89990234375,105727,0,0,4018.3969434166966,4049.86097524633,-69.050048828125,-25.90855292235392,-31.464031829633313,-13.91688583220639,-50.9363965691191,0.0,
2021-02-18,3839.699951171875,3977.35009765625,3836.050048828125,3871.300048828125,147042,0,0,3995.766651941532,4036.6342399560926,-4.599853515625,-22.63029147516454,-40.867588014560624,-13.22673529023723,-72.33161984419394,0.0,
2021-02-19,3925.0,3925.0,3808.0,3820.64990234375,120226,0,0,3968.8256135418733,4020.635400132956,-50.650146484375,-26.941038399658737,-51.809786591082684,-15.998839823136677,-92.67737460564331,0.0,
2021-02-22,3822.0,3854.949951171875,3775.0,3793.699951171875,63480,0,0,3941.883203946489,4003.8253668765797,-26.949951171875,-26.942409595384106,-61.94216293009049,-16.8100332563763,-113.75194952117317,18.488124415234374,
2021-02-23,3800.85009765625,3851.0,3750.0,3754.550048828125,90928,0,0,3913.062718543664,3985.36052850262,-39.14990234375,-28.820485402825398,-72.29780995895635,-18.464838373959537,-134.23997288904684,29.250061523978772,10.761937108744398
2021-02-24,3788.35009765625,3825.0,3701.0,3718.75,50985,0,0,3883.168454152331,3965.611600465389,-35.800048828125,-29.894264391332854,-82.44314631305815,-19.748928037231053,-154.7409562720145,39.88867848179465,10.638616957815877
2021-02-25,3730.0,3763.800048828125,3640.0,3656.5,251215,0,0,3848.296384282741,3942.71444487536,-62.25,-34.87206986958972,-94.41806059261899,-22.897155590028888,-176.86120690567714,50.79455490395952,10.905876422164873
2021-02-26,3625.0,3648.550048828125,3570.0,3599.85009765625,240333,0,0,3810.073878647897,3917.317085822093,-56.64990234375,-38.22250563484431,-107.24320717419596,-25.397359053267337,-201.66126776681494,62.08428535800681,11.289730454047287
2021-03-01,3590.0,3695.199951171875,3590.0,3608.050048828125,190862,0,0,3778.9932894448552,3894.4084164151327,8.199951171875,-31.080589203041654,-115.41512697027747,-22.908669406960144,-222.65833414447343,72.75045368046095,10.66616832245414
2021-03-02,3640.550048828125,3894.0,3627.0,3832.800048828125,394399,0,0,3787.271252426897,3889.8448336309098,224.75,8.277962982041572,-102.57358120401295,-4.563582784222945,-217.98870817429042,78.71507918517136,5.964625504710412
2021-03-03,3868.0,3967.0,3851.0,3911.14990234375,232927,0,0,3806.3295062602588,3891.422986868898,78.349853515625,19.05825383336196,-85.09348060863931,1.5781532379883174,-187.66706181265226,79.99075946986495,1.2756802846935926
2021-03-04,3880.300048828125,4015.0,3811.14990234375,3924.699951171875,251366,0,0,3824.5403439389693,3893.887947187637,13.550048828125,18.210837678710504,-69.34760324866784,2.464960318739031,-154.44108385730715,77.86212822562554,-2.128631244239415
2021-03-05,3910.0,3920.0,3820.0,3845.14990234375,132490,0,0,3827.7110452320126,3890.2777216436452,-79.550048828125,3.170701293043294,-62.56667641163267,-3.6102255439918736,-131.9142796603005,74.80303786282697,-3.059090362798571
2021-03-08,3870.0,3955.0,3846.0,3866.199951171875,162750,0,0,3833.632415376607,3888.4941830901807,21.050048828125,5.921370144594221,-54.861767713573954,-1.7835385534644956,-117.42844412520662,70.81478383297636,-3.9882540298506086
2021-03-09,3889.0,3920.0,3859.85009765625,3896.5,100893,0,0,3843.3043514725136,3889.087206564982,30.300048828125,9.671936095906858,-45.78285509246825,0.5930234748011571,-100.64462280604221,65.80839808487474,-5.006385748101621
2021-03-10,3955.0,4150.0,3936.050048828125,4128.9501953125,1096653,0,0,3887.2498659094344,3906.8548353610945,232.4501953125,43.9455144369208,-19.604969451660054,17.767628796112604,-65.3878245441283,56.56771235823181,-9.24068572664293
2021-03-12,4168.0,4174.9501953125,4000.0,4016.050048828125,354537,0,0,3907.065278666156,3914.943369691986,-112.900146484375,19.815412756721344,-7.878091025830145,8.088534330891434,-27.4830604774902,46.82978809175148,-9.737924266480327
2021-03-15,4048.0,4120.0,3967.0,4087.35009765625,311584,0,0,3934.801404664632,3927.7142384300796,71.300048828125,27.736125998476382,7.087166234552569,12.770868738093668,-0.7909247912775754,36.046397226490676,-10.783390865260806
2021-03-16,4120.0,4198.0,4073.0,4115.9501953125,361187,0,0,3962.6704493796888,3941.657642643592,28.60009765625,27.86904471505659,21.012806736096536,13.943404213512622,28.099972970649105,24.634556433973234,-11.411840792517442
