Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,145.8000030517578,145.8000030517578,141.10000610351562,141.75,224090,0,0,0.0,0.0,,,,,,,
2021-01-05,140.25,143.89999389648438,140.0,141.75,180430,0,0,0.0,0.0,,,,,,,
2021-01-06,142.0,144.89999389648438,141.1999969482422,143.64999389648438,331190,0,0,0.0,0.0,1.899993896484375,,,,,,
2021-01-07,144.5,158.10000610351562,143.5,156.1999969482422,2035880,0,0,0.0,0.0,12.550003051757812,,,,,,
2021-01-08,157.8000030517578,158.4499969482422,153.0500030517578,154.3000030517578,841611,0,0,0.0,0.0,-1.899993896484375,,,,,,
2021-01-11,155.0500030517578,161.89999389648438,155.0500030517578,159.85000610351562,808883,0,0,0.0,0.0,5.5500030517578125,,,,,,
2021-01-12,159.85000610351562,164.9499969482422,158.5,163.5,714561,0,0,0.0,0.0,3.649993896484375,,,,,,
2021-01-13,164.5500030517578,167.4499969482422,155.0,159.64999389648438,613687,0,0,0.0,0.0,-3.850006103515625,,,,,,
2021-01-14,159.64999389648438,163.89999389648438,159.64999389648438,161.25,335533,0,0,0.0,0.0,1.600006103515625,,,,,,
2021-01-15,162.25,165.5500030517578,157.9499969482422,159.9499969482422,903412,0,0,0.0,0.0,-1.3000030517578125,,,,,,
2021-01-18,160.0,167.8000030517578,158.5,164.35000610351562,657057,0,0,0.0,0.0,4.4000091552734375,,,,,,
2021-01-19,166.35000610351562,170.0,164.8000030517578,165.6999969482422,547763,0,0,155.99166615804037,0.0,1.3499908447265625,,,,,,
2021-01-20,166.14999389648438,167.5,161.89999389648438,162.5,292987,0,0,156.99294828757263,0.0,-3.1999969482421875,1.0012821295322567,,,,,
2021-01-21,163.9499969482422,165.25,162.5,163.5500030517578,473530,0,0,158.00172594360112,0.0,1.0500030517578125,1.0087776560284851,,,,,
2021-01-22,163.39999389648438,165.0,160.0,162.64999389648438,666830,0,0,158.71684409019855,0.0,-0.9000091552734375,0.7151181465974332,,,,,
2021-01-25,163.10000610351562,165.0,158.6999969482422,162.25,494923,0,0,159.2604065378603,0.0,-0.399993896484375,0.543562447661742,,,,,
2021-01-27,161.5500030517578,165.0,160.14999389648438,164.64999389648438,261770,0,0,160.08957382380245,0.0,2.399993896484375,0.8291672859421624,,,,,
2021-01-28,163.64999389648438,164.89999389648438,161.3000030517578,162.1999969482422,263150,0,0,160.41425430448547,0.0,-2.4499969482421875,0.32468048068301414,,,,,
2021-01-29,163.5,164.14999389648438,161.5,162.1999969482422,164567,0,0,160.6889839419865,0.0,0.0,0.2747296375010251,,,,,
2021-02-01,163.4499969482422,171.6999969482422,163.0,167.25,798453,0,0,161.69837102783472,0.0,5.0500030517578125,1.009387085848232,,,,,
2021-02-02,169.89999389648438,179.10000610351562,168.60000610351562,169.60000610351562,820560,0,0,162.9140071933241,0.0,2.350006103515625,1.2156361654893715,,,,,
2021-02-03,174.4499969482422,174.5,170.0,170.6999969482422,315409,0,0,164.1118517710038,0.0,1.0999908447265625,1.1978445776797173,,,,,
