Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,28105.58736009015,28528.465302210378,28006.098555275672,28370.42578125,45099,0.0,0,0.0,0.0,,,,,,,
2021-01-05,28344.361521742885,28603.03242366121,27982.770224759908,28451.212890625,36688,0.0,0,0.0,0.0,,,,,,,
2021-01-06,28642.82819633462,29272.044393471206,28262.481701139477,28601.7890625,61303,0.0,0,0.0,0.0,150.576171875,,,,,,
2021-01-07,28899.507837586487,28899.507837586487,28304.564788602846,28520.15625,36051,0.0,0,0.0,0.0,-81.6328125,,,,,,
2021-01-08,28741.32167100683,29836.64292267831,28553.287824358616,29690.744140625,55712,0.0,0,0.0,0.0,1170.587890625,,,,,,
2021-01-11,29793.911994199218,29930.409855391004,29085.30299103134,29566.580078125,39088,0.0,0,0.0,0.0,-124.1640625,,,,,,
2021-01-12,29667.56262568311,30393.83092604356,29567.078929331867,29896.0390625,43450,0.0,0,0.0,0.0,329.458984375,,,,,,
2021-01-13,29896.386505195023,30159.336199367237,28702.520821127335,28834.29296875,54863,0.0,0,0.0,0.0,-1061.74609375,,,,,,
2021-01-14,29014.716873232006,29342.82978604969,28366.24806535704,28949.3515625,46408,0.0,0,0.0,0.0,115.05859375,,,,,,
2021-01-15,29020.784862457076,29188.57311808206,28103.795395291952,28287.103515625,34236,0.0,0,0.0,0.0,-662.248046875,,,,,,
2021-01-18,28443.849218246865,28652.77570778278,27771.604143220207,28114.591796875,29723,0.0,0,0.0,0.0,-172.51171875,,,,,,
2021-01-19,28248.85120034201,28672.67350827135,27986.25127765006,28162.494140625,34334,0.0,0,28787.065104166668,0.0,47.90234375,,,,,,
2021-01-20,28369.23378613449,28971.141078458226,28111.55777173474,28223.533203125,43274,0.0,0,28700.367888621797,0.0,61.0390625,-86.69721554487114,,,,,
2021-01-21,28463.747985809234,29087.941156202392,28425.196072686198,28616.1640625,37706,0.0,0,28687.413453833826,0.0,392.630859375,-12.954434787970968,,,,,
2021-01-22,28831.856165520785,29583.991543751763,28803.004411593934,29199.56640625,44767,0.0,0,28766.20621574401,0.0,583.40234375,78.79276191018289,,,,,
2021-01-25,29528.278150576993,29737.204646925416,28907.567090178454,29128.9296875,35529,0.0,0,28822.00982678339,0.0,-70.63671875,55.803611039380485,,,,,
2021-01-27,29194.990105572568,29447.69167268163,28567.51498371199,28735.40234375,29437,0.0,0,28808.685598624405,0.0,-393.52734375,-13.324228158984624,,,,,
2021-01-28,28056.838829018245,29097.49176384868,28055.843940935232,28780.76953125,37516,0.0,0,28804.39081902834,0.0,45.3671875,-4.294779596064473,,,,,
2021-01-29,29100.47680464884,29198.9707261415,26861.978588906622,27037.228515625,48275,0.0,0,28532.519695427825,0.0,-1743.541015625,-271.8711236005147,,,,,
2021-02-01,27359.422337666278,28195.128329071358,26937.688889804056,27673.111328125,55007,0.0,0,28400.30302353508,0.0,635.8828125,-132.21667189274376,,,,,
2021-02-02,28155.13356185173,29528.27726863062,27990.776890415487,29222.6484375,70158,0.0,0,28526.817702606608,0.0,1549.537109375,126.51467907152619,,,,,
