Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,10979.655546890352,10979.655546890352,10768.413851804766,10805.9462890625,15091,0.0,0,0.0,0.0,,,,,,,
2021-01-05,10807.714166741694,10930.529100454667,10773.32598530206,10912.84375,7814,0.0,0,0.0,0.0,,,,,,,
2021-01-06,10848.979080625919,11069.06342350404,10848.979080625919,11040.0791015625,9145,0.0,0,0.0,0.0,127.2353515625,,,,,,
2021-01-07,11092.644984003988,11151.59615309524,11007.06792066986,11033.005859375,5398,0.0,0,0.0,0.0,-7.0732421875,,,,,,
2021-01-08,11094.02073327019,11122.120406330505,10895.649668374746,11060.2216796875,4725,0.0,0,0.0,0.0,27.2158203125,,,,,,
2021-01-11,11063.168716892997,11151.5954650742,10935.441191742366,11059.533203125,12010,0.0,0,0.0,0.0,-0.6884765625,,,,,,
2021-01-12,11005.2010921538,11151.596499950507,11005.2010921538,11117.994140625,6451,0.0,0,0.0,0.0,58.4609375,,,,,,
2021-01-13,11159.456167448507,11176.650258215397,11102.470038049667,11142.556640625,5353,0.0,0,0.0,0.0,24.5625,,,,,,
2021-01-14,11149.336556593094,11199.739614296777,11037.91846314985,11158.8671875,4491,0.0,0,0.0,0.0,16.310546875,,,,,,
2021-01-15,11199.740087768238,11284.138898930425,11132.92875993525,11171.73828125,14205,0.0,0,0.0,0.0,12.87109375,,,,,,
2021-01-18,11131.944724629397,11226.659977927737,11038.998773832041,11118.189453125,9900,0.0,0,0.0,0.0,-53.548828125,,,,,,
2021-01-19,11053.343583585598,11248.864950086356,11053.343583585598,11176.9443359375,5458,0.0,0,11066.493326822916,0.0,58.7548828125,,,,,,
2021-01-20,11190.89648093337,11234.618596245182,11065.133991946586,11151.595703125,4192,0.0,0,11079.586000100158,0.0,-25.3486328125,13.092673277242284,,,,,
2021-01-21,11112.295422858928,11200.722176886982,10957.843167258254,11032.5146484375,9045,0.0,0,11072.344253690519,0.0,-119.0810546875,-7.241746409639745,,,,,
2021-01-22,11161.420941472164,11200.721719435094,11053.343802074107,11092.1533203125,3854,0.0,0,11075.391802401593,0.0,59.638671875,3.0475487110743416,,,,,
2021-01-25,11142.16448305853,11190.897066293295,10944.678064241589,11076.9248046875,3022,0.0,0,11075.627648907117,0.0,-15.228515625,0.2358465055240231,,,,,
2021-01-27,11150.612860791842,11150.612860791842,10956.859839908748,11032.9072265625,5923,0.0,0,11069.055276238714,0.0,-44.017578125,-6.57237266840275,,,,,
2021-01-28,11023.868394990162,11151.693793563214,11000.385795984917,11066.8046875,6986,0.0,0,11068.709031817372,0.0,33.8974609375,-0.3462444213419076,,,,,
2021-01-29,11122.513491432825,11171.246072031308,11006.280673679325,11108.5615234375,3926,0.0,0,11074.840184374314,0.0,41.7568359375,6.131152556941743,,,,,
2021-02-01,11109.347346215098,11152.08694200181,10955.288489392588,11098.736328125,3877,0.0,0,11078.51651418211,0.0,-9.8251953125,3.6763298077967193,,,,,
2021-02-02,11092.6438387597,11155.525079298286,10905.965155910777,10926.4013671875,20784,0.0,0,11055.114183875248,0.0,-172.3349609375,-23.402330306862495,,,,,
2021-02-03,11015.811726173848,11243.95294158102,10905.966240086447,11161.224609375,9983,0.0,0,11071.438864721364,0.0,234.8232421875,16.32468084611537,,,,,
2021-02-04,12104.443064511213,12379.745209399525,11593.729640548761,12077.9150390625,131452,0.0,0,11226.281353081538,0.0,916.6904296875,154.84248836017468,,,,,
2021-02-05,12184.223661789638,12236.788452202165,11888.48530825374,12140.6982421875,23783,0.0,0,11366.960874482456,0.0,62.783203125,140.67952140091802,,,,,
2021-02-08,12140.69882461246,12575.26700495343,12139.716305118363,12486.6435546875,15820,0.0,0,11539.219748360156,0.0,345.9453125,172.25887387769944,,,,,
