Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,1008.4500122070312,1049.0,996.2999877929688,1024.449951171875,65832,0,0,0.0,0.0,,,,,,,
2021-01-05,1021.0,1040.9000244140625,1011.4000244140625,1021.6500244140625,26422,0,0,0.0,0.0,,,,,,,
2021-01-06,1026.800048828125,1040.0,1015.0,1019.75,19990,0,0,0.0,0.0,-1.9000244140625,,,,,,
2021-01-07,1024.0,1039.0,1017.0499877929688,1025.1500244140625,40724,0,0,0.0,0.0,5.4000244140625,,,,,,
2021-01-08,1030.199951171875,1039.0,1022.6500244140625,1025.4000244140625,25018,0,0,0.0,0.0,0.25,,,,,,
2021-01-11,1034.0,1048.0,1024.550048828125,1029.699951171875,44738,0,0,0.0,0.0,4.2999267578125,,,,,,
2021-01-12,1038.0,1109.8499755859375,1028.300048828125,1081.199951171875,301523,0,0,0.0,0.0,51.5,,,,,,
2021-01-13,1092.699951171875,1134.0,1060.699951171875,1089.449951171875,254844,0,0,0.0,0.0,8.25,,,,,,
2021-01-14,1094.949951171875,1097.25,1067.0,1084.5999755859375,66935,0,0,0.0,0.0,-4.8499755859375,,,,,,
2021-01-15,1089.9000244140625,1107.0,1067.25,1080.4000244140625,124100,0,0,0.0,0.0,-4.199951171875,,,,,,
2021-01-18,1086.0,1097.0,1045.0,1053.0999755859375,40784,0,0,0.0,0.0,-27.300048828125,,,,,,
2021-01-19,1060.0999755859375,1084.800048828125,1060.0999755859375,1080.050048828125,26089,0,0,1051.2416585286458,0.0,26.9500732421875,,,,,,
2021-01-20,1084.5999755859375,1093.0,1073.0,1082.449951171875,27096,0,0,1056.0429343199116,0.0,2.39990234375,4.80127579126588,,,,,
2021-01-21,1089.800048828125,1128.300048828125,1075.199951171875,1082.75,58669,0,0,1060.1517136553098,0.0,0.300048828125,4.10877933539814,,,,,
2021-01-22,1081.0999755859375,1093.1500244140625,1054.3499755859375,1070.0999755859375,27638,0,0,1061.682215490791,0.0,-12.6500244140625,1.5305018354811182,,,,,
2021-01-25,1071.0,1084.699951171875,1045.0,1057.449951171875,35215,0,0,1061.0310979032654,0.0,-12.6500244140625,-0.6511175875255049,,,,,
2021-01-27,1053.0,1057.449951171875,1024.6500244140625,1025.949951171875,27514,0,0,1055.6339984061285,0.0,-31.5,-5.397099497136878,,,,,
2021-01-28,1019.0,1048.0,1017.0,1039.8499755859375,24970,0,0,1053.2056872030223,0.0,13.9000244140625,-2.4283112031062046,,,,,
2021-01-29,1047.0,1068.0,1030.0,1033.8499755859375,14999,0,0,1050.2278854157785,0.0,-6.0,-2.977801787243834,,,,,
2021-02-01,1027.25,1088.0,1012.0999755859375,1075.1500244140625,35255,0,0,1054.0620606462837,0.0,41.300048828125,3.8341752305052523,,,,,
2021-02-02,1082.0,1110.0,1082.0,1102.8499755859375,52822,0,0,1061.5678937139228,0.0,27.699951171875,7.50583306763906,,,,,
2021-02-03,1138.0,1138.0,1090.0,1119.050048828125,66600,0,0,1070.411302193031,0.0,16.2000732421875,8.84340847910812,,,,,
2021-02-04,1119.0,1119.050048828125,1092.5999755859375,1100.5999755859375,24712,0,0,1075.0557134842472,0.0,-18.4500732421875,4.644411291216329,,,,,
2021-02-05,1100.1500244140625,1123.550048828125,1100.1500244140625,1109.0,32824,0,0,1080.2779114097477,0.0,8.4000244140625,5.222197925500495,,,,,
