Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,2501.0,2557.449951171875,2455.0,2481.300048828125,24633,0,0,0.0,0.0,,,,,,,
2021-01-05,2525.0,2525.0,2401.35009765625,2470.10009765625,37729,0,0,0.0,0.0,,,,,,,
2021-01-06,2500.5,2504.949951171875,2443.85009765625,2463.699951171875,25273,0,0,0.0,0.0,-6.400146484375,,,,,,
2021-01-07,2476.050048828125,2504.10009765625,2403.0,2422.550048828125,9920,0,0,0.0,0.0,-41.14990234375,,,,,,
2021-01-08,2431.050048828125,2466.60009765625,2409.5,2458.10009765625,13483,0,0,0.0,0.0,35.550048828125,,,,,,
2021-01-11,2484.0,2518.800048828125,2420.0,2458.25,37541,0,0,0.0,0.0,0.14990234375,,,,,,
2021-01-12,2421.64990234375,2470.449951171875,2421.64990234375,2454.39990234375,7836,0,0,0.0,0.0,-3.85009765625,,,,,,
2021-01-13,2466.550048828125,2472.0,2323.050048828125,2441.75,29521,0,0,0.0,0.0,-12.64990234375,,,,,,
2021-01-14,2441.75,2464.0,2367.0,2418.75,15895,0,0,0.0,0.0,-23.0,,,,,,
2021-01-15,2430.75,2449.89990234375,2380.0,2413.0,9235,0,0,0.0,0.0,-5.75,,,,,,
2021-01-18,2402.0,2435.0,2384.449951171875,2411.949951171875,12273,0,0,0.0,0.0,-1.050048828125,,,,,,
2021-01-19,2423.85009765625,2470.60009765625,2421.39990234375,2445.10009765625,6596,0,0,2444.9125162760415,0.0,33.150146484375,,,,,,
2021-01-20,2457.25,2516.10009765625,2390.0,2405.949951171875,19802,0,0,2438.918275490785,0.0,-39.150146484375,-5.994240785256352,,,,,
2021-01-21,2453.949951171875,2570.0,2413.300048828125,2473.89990234375,47775,0,0,2444.300064237395,0.0,67.949951171875,5.3817887466098,,,,,
2021-01-22,2493.699951171875,2560.0,2405.050048828125,2500.800048828125,48908,0,0,2452.992369559046,0.0,26.900146484375,8.69230532165102,,,,,
2021-01-25,2585.0,2612.5,2455.050048828125,2498.14990234375,15250,0,0,2459.9396822951544,0.0,-2.650146484375,6.947312736108415,,,,,
2021-01-27,2510.550048828125,2520.050048828125,2357.0,2379.5,39892,0,0,2447.5643465574385,0.0,-118.64990234375,-12.375335737715886,,,,,
2021-01-28,2380.0,2533.050048828125,2340.0,2432.64990234375,48808,0,0,2445.2698166784094,0.0,53.14990234375,-2.2945298790291417,,,,,
2021-01-29,2435.050048828125,2525.0,2430.0,2452.699951171875,20583,0,0,2446.4129142927886,0.0,20.050048828125,1.1430976143792577,,,,,
2021-02-01,2465.0,2489.199951171875,2376.0,2469.35009765625,25239,0,0,2449.9417117333214,0.0,16.650146484375,3.5287974405327986,,,,,
