Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,830.0,848.75,830.0,845.9000244140625,44194,0,0,0.0,0.0,,,,,,,
2021-01-05,847.0,853.1500244140625,830.5999755859375,838.0,41813,0,0,0.0,0.0,,,,,,,
2021-01-06,842.0,877.5,835.1500244140625,869.2999877929688,103890,0,0,0.0,0.0,31.29998779296875,,,,,,
2021-01-07,869.2999877929688,887.5499877929688,869.2999877929688,881.7000122070312,60103,0,0,0.0,0.0,12.4000244140625,,,,,,
2021-01-08,885.0,908.9500122070312,882.0,903.5,83201,0,0,0.0,0.0,21.79998779296875,,,,,,
2021-01-11,904.5,917.5999755859375,882.7999877929688,915.0999755859375,78377,0,0,0.0,0.0,11.5999755859375,,,,,,
2021-01-12,915.0,922.0,900.0,903.75,39699,0,0,0.0,0.0,-11.3499755859375,,,,,,
2021-01-13,903.75,912.0,882.1500244140625,896.4000244140625,44255,0,0,0.0,0.0,-7.3499755859375,,,,,,
2021-01-14,898.0,926.5,898.0,911.7000122070312,77001,0,0,0.0,0.0,15.29998779296875,,,,,,
2021-01-15,909.0,917.75,882.0,887.9500122070312,30082,0,0,0.0,0.0,-23.75,,,,,,
2021-01-18,882.0,903.3499755859375,876.9000244140625,891.9000244140625,39937,0,0,0.0,0.0,3.95001220703125,,,,,,
2021-01-19,892.9000244140625,910.5,892.1500244140625,908.8499755859375,36171,0,0,887.8375040690104,0.0,16.949951171875,,,,,,
2021-01-20,910.0,918.4000244140625,901.0999755859375,911.1500244140625,22239,0,0,891.4240456605569,0.0,2.300048828125,3.5865415915465064,,,,,
2021-01-21,930.0,995.2000122070312,930.0,955.75,241714,0,0,901.3203463281635,0.0,44.5999755859375,9.896300667606624,,,,,
2021-01-22,953.25,969.0,917.2999877929688,934.25,119065,0,0,906.3864468930615,0.0,-21.5,5.066100564897965,,,,,
2021-01-25,945.0,959.9000244140625,914.0,941.8499755859375,78646,0,0,911.8423743842732,0.0,7.5999755859375,5.455927491211696,,,,,
2021-01-27,935.0,944.1500244140625,908.2000122070312,913.9500122070312,51830,0,0,912.1666263570052,0.0,-27.89996337890625,0.3242519727319859,,,,,
2021-01-28,910.0,942.5,904.0499877929688,933.9500122070312,121763,0,0,915.5179164877784,0.0,20.0,3.3512901307732363,,,,,
2021-01-29,940.0,945.0,897.4000244140625,908.5,79753,0,0,914.4382370281203,0.0,-25.45001220703125,-1.0796794596581094,,,,,
2021-02-01,908.5,949.3499755859375,903.5,937.5499877929688,69497,0,0,917.9938909919431,0.0,29.04998779296875,3.555653963822806,,,,,
2021-02-02,948.0,998.3499755859375,941.6500244140625,988.2000122070312,125083,0,0,928.7948327173413,0.0,50.6500244140625,10.800941725398161,,,,,
2021-02-03,990.2999877929688,1030.0,990.2999877929688,1004.1500244140625,95880,0,0,940.3879391322214,0.0,15.95001220703125,11.59310641488014,,,,,
2021-02-04,999.4500122070312,1022.0,998.8499755859375,1003.0999755859375,56172,0,0,950.0359447404853,0.0,-1.050048828125,9.64800560826393,,,,,
2021-02-05,1009.0,1041.300048828125,989.9000244140625,1000.5999755859375,105796,0,0,957.8150264090164,0.0,-2.5,7.779081668531035,,,,,
2021-02-08,1009.0,1045.9000244140625,1005.0,1039.199951171875,118329,0,0,970.3357840648407,0.0,38.5999755859375,12.520757655824355,,,,,
2021-02-09,1040.0,1089.550048828125,1039.0,1080.1500244140625,177475,0,0,987.2302825801056,931.015385554387,40.9500732421875,16.8944985152649,-56.21489702571864,,,,
2021-02-10,1020.3499755859375,1095.550048828125,1020.3499755859375,1090.1500244140625,86489,0,0,1003.0640890160989,942.8031365810295,10.0,15.833806435993324,60.260952435069385,11.787751026642582,116.47584946078803,0.0,
2021-02-11,1090.1500244140625,1110.050048828125,1080.1500244140625,1101.050048828125,60589,0,0,1018.1388520641029,954.5251300808144,10.9000244140625,15.074763048004002,63.61372198328854,11.721993499784844,123.87467441835793,0.0,
2021-02-12,1103.0,1131.199951171875,1060.550048828125,1079.0999755859375,276594,0,0,1027.5174864520775,963.7528964145272,-21.9500732421875,9.378634387974557,63.764590037550306,9.227766333712793,127.37831202083885,0.0,
2021-02-15,1104.0,1104.0,1052.5999755859375,1057.949951171875,185508,0,0,1032.1994041012772,970.7304560261825,-21.1500244140625,4.681917649199704,61.46894807509466,6.9775596116553515,125.23353811264496,0.0,
2021-02-16,1079.9000244140625,1079.9000244140625,1026.050048828125,1036.050048828125,85682,0,0,1032.7918109823308,975.568944381882,-21.89990234375,0.5924068810536482,57.22286660044881,4.838488355699496,118.69181467554347,0.0,
2021-02-17,1037.0,1048.25,1017.3499755859375,1033.4000244140625,68306,0,0,1032.8853822795204,979.8527280879695,-2.6500244140625,0.09357129718955548,53.03265419155093,4.2837837060874335,110.25552079199974,0.0,
2021-02-18,1041.0,1041.0,1003.0,1017.2999877929688,63316,0,0,1030.4876292815893,982.6265991772286,-16.10003662109375,-2.397752997931093,47.86103010436068,2.77387108925916,100.89368429591161,0.0,
2021-02-19,1012.4500122070312,1032.75,992.7999877929688,1001.25,66917,0,0,1025.9895324690372,984.0061103492857,-16.04998779296875,-4.4980968125521485,41.98342211975148,1.3795111720570503,89.84445222411216,0.0,
2021-02-22,1003.0,1015.0,984.9500122070312,991.7999877929688,71650,0,0,1020.7296025188728,984.5834346043732,-9.45001220703125,-5.2599299501644055,36.14616791449953,0.5773242550875466,78.12959003425101,-56.15812028587038,
2021-02-23,989.0,1021.2999877929688,979.5,1014.7999877929688,55178,0,0,1019.817354099503,986.8216978035285,23.0,-0.9122484193698028,32.99565629597441,2.2382631991553126,69.14182421047394,-51.52562748789119,4.6324927979791894
2021-02-24,1020.0,1090.5999755859375,971.9000244140625,1013.0499877929688,177662,0,0,1018.7762208215747,988.7645340990426,-1.75,-1.0411332779282247,30.01168672253209,1.9428362955140983,63.0073430185065,-47.22283933481937,4.302788153071823
2021-02-25,1025.0,1054.5999755859375,1017.6500244140625,1049.0999755859375,129669,0,0,1023.4414138622459,993.2338260610348,36.04998779296875,4.66519304067117,30.207587801211048,4.469291961992212,60.21927452374314,-43.81978902809771,3.40305030672166
2021-02-26,1044.199951171875,1053.800048828125,1009.8499755859375,1017.2999877929688,113032,0,0,1022.4965790823571,995.0165047078448,-31.79998779296875,-0.9448347798887653,27.480074374512355,1.7826786468099272,57.6876621757234,-40.55184609738064,3.2679429307170693
2021-03-01,1040.0,1062.4000244140625,1021.9500122070312,1044.1500244140625,52793,0,0,1025.8278783641579,998.6560246860831,26.85003662109375,3.3312992818007388,27.17185367807474,3.6395199782383543,54.651928052587095,-37.87584761351946,2.6759984838611786
2021-03-02,1040.0,1072.0999755859375,1040.0,1067.699951171875,99262,0,0,1032.2697357191912,1003.7703896109566,23.5499267578125,6.441857355033335,28.49934610823459,5.114364924873485,55.67119978630933,-36.00054731246249,1.8753003010569742
2021-03-03,1077.0999755859375,1081.0,1064.3499755859375,1072.5999755859375,107917,0,0,1038.474388006383,1008.8688774609552,4.9000244140625,6.2046522871917205,29.605510545427705,5.098487849998605,58.104856653662296,-34.721539959055534,1.2790073534069535
2021-03-04,1070.0,1091.0,1054.050048828125,1071.199951171875,54902,0,0,1043.5090900318432,1013.4859940321345,-1.4000244140625,5.034702025460319,30.023095999708744,4.617116571179281,59.62860654513645,-33.781851167186176,0.9396887918693579
2021-03-05,1080.0,1080.0,1029.0,1031.550048828125,83264,0,0,1041.6692375389634,1014.8240721651708,-39.64990234375,-1.8398524928797997,26.84516537379261,1.3380781330363334,56.868261373501355,-32.394514008507464,1.3873371586787115
2021-03-08,1048.0,1057.5999755859375,1032.9000244140625,1049.199951171875,87100,0,0,1042.8278088671036,1017.3704335730748,17.64990234375,1.1585713281401695,25.457375294028793,2.546361407903987,52.302540667821404,-31.007086265611733,1.3874277428957313
2021-03-09,1052.5,1055.3499755859375,1031.4000244140625,1040.800048828125,72860,0,0,1042.5158457841837,1019.1059606290045,-8.39990234375,-0.31196308291987407,23.409885155179268,1.7355270559296514,48.86726044920806,-29.487646043525242,1.5194402220864909
2021-03-10,1053.0,1070.0,1047.5,1061.5,46032,0,0,1045.4364848943094,1022.2462598416707,20.699951171875,2.9206391101256486,23.190225052638652,3.140299212666264,46.60011020781792,-28.228161845347923,1.2594841981773186
