Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,12EMA,26EMA,CloseSlope,ShortEMASlope,MACDHist,LongEMASlope,MACDHistSlope,SignalMACD,SignalMACDSlope
2021-01-04,48109.171875,48220.46875,47594.46875,48176.80078125,13900,0,0,0.0,0.0,,,,,,,
2021-01-05,48037.62890625,48486.23828125,47903.37890625,48437.78125,12200,0,0,0.0,0.0,,,,,,,
2021-01-06,48616.66015625,48616.66015625,47864.140625,48174.05859375,22500,0,0,0.0,0.0,-263.72265625,,,,,,
2021-01-07,48524.359375,48558.33984375,48037.87109375,48093.3203125,18400,0,0,0.0,0.0,-80.73828125,,,,,,
2021-01-08,48464.91015625,48854.33984375,48365.578125,48782.51171875,22200,0,0,0.0,0.0,689.19140625,,,,,,
2021-01-11,49252.30859375,49303.7890625,48956.37890625,49269.3203125,21200,0,0,0.0,0.0,486.80859375,,,,,,
2021-01-12,49228.26171875,49569.140625,49079.5703125,49517.109375,12700,0,0,0.0,0.0,247.7890625,,,,,,
2021-01-13,49763.9296875,49795.19140625,49073.8515625,49492.3203125,27200,0,0,0.0,0.0,-24.7890625,,,,,,
2021-01-14,49432.828125,49663.578125,49182.37109375,49584.16015625,24500,0,0,0.0,0.0,91.83984375,,,,,,
2021-01-15,49656.7109375,49656.7109375,48795.7890625,49034.671875,14700,0,0,0.0,0.0,-549.48828125,,,,,,
2021-01-18,49061.21875,49122.23046875,48403.96875,48564.26953125,16600,0,0,0.0,0.0,-470.40234375,,,,,,
2021-01-19,48900.30859375,49499.859375,48805.5390625,49398.2890625,11000,0,0,48877.051106770836,0.0,834.01953125,,,,,,
2021-01-20,49508.7890625,49874.421875,49373.6796875,49792.12109375,12200,0,0,49017.831104767625,0.0,393.83203125,140.77999799678946,,,,,
2021-01-21,50096.5703125,50184.01171875,49398.859375,49624.76171875,19300,0,0,49111.205045380295,0.0,-167.359375,93.37394061266968,,,,,
2021-01-22,49594.94921875,49676.87890625,48832.078125,48878.5390625,18400,0,0,49075.410278783325,0.0,-746.22265625,-35.794766596969566,,,,,
2021-01-25,49253.6796875,49263.1484375,48274.921875,48347.58984375,15500,0,0,48963.43790416281,0.0,-530.94921875,-111.97237462051271,,,,,
2021-01-27,48385.28125,48387.25,47269.6015625,47409.9296875,19600,0,0,48724.43664006084,0.0,-937.66015625,-239.00126410197117,,,,,
2021-01-28,46834.5703125,47172.01953125,46518.48046875,46874.359375,25000,0,0,48439.80936851302,0.0,-535.5703125,-284.62727154781896,,,,,
2021-01-29,47423.46875,47423.66015625,46160.4609375,46285.76953125,14500,0,0,48108.418624318714,0.0,-588.58984375,-331.39074419430835,,,,,
2021-02-01,46617.94921875,48764.3984375,46433.6484375,48600.609375,22000,0,0,48184.14027826968,0.0,2314.83984375,75.72165395096818,,,,,
2021-02-02,49193.26171875,50154.48046875,49193.26171875,49797.71875,28400,0,0,48432.383120074344,0.0,1197.109375,248.24284180466202,,,,,
2021-02-03,50231.05859375,50526.390625,49515.87890625,50255.75,22400,0,0,48712.90110160137,0.0,458.03125,280.51798152702395,,,,,
2021-02-04,50212.25,50687.51171875,49926.44921875,50614.2890625,33600,0,0,49005.422326355,0.0,358.5390625,292.52122475363285,,,,,
2021-02-05,51031.390625,51073.26953125,50565.2890625,50731.62890625,32200,0,0,49270.99256941577,0.0,117.33984375,265.57024306077074,,,,,
2021-02-08,51146.671875,51523.37890625,51146.671875,51348.76953125,20600,0,0,49590.65056354411,0.0,617.140625,319.65799412834167,,,,,
2021-02-09,51484.23046875,51835.859375,51193.9296875,51329.078125,21200,0,0,49858.100957614246,49092.90489783654,-19.69140625,267.45039407013246,-765.196059777707,,,,
2021-02-10,51355.890625,51512.859375,50846.21875,51309.390625,16000,0,0,50081.37629105821,49257.08902577458,-19.6875,223.27533344396215,824.2872652836304,164.18412793803873,1589.4833250613374,0.0,
2021-02-11,51165.83984375,51592.44921875,51157.30859375,51531.51953125,12100,0,0,50304.475251087715,49425.5653595135,222.12890625,223.098960029507,878.9098915742143,168.47633373892313,1703.1971568578447,0.0,
2021-02-12,51614.76953125,51804.578125,51260.62109375,51544.30078125,15100,0,0,50495.21764034345,49582.508724086576,12.78125,190.74238925573445,912.7089162568736,156.9433645730751,1791.618807831088,0.0,
2021-02-15,51907.75,52235.96875,51886.4609375,52154.12890625,14700,0,0,50750.43475817523,49772.999107950534,609.828125,255.21711783178034,977.4356502246956,190.4903838639584,1890.1445664815692,0.0,
2021-02-16,52400.03125,52516.76171875,51863.609375,52104.171875,21100,0,0,50958.702006917505,49945.67857217642,-49.95703125,208.26724874227511,1013.0234347410878,172.67946422588284,1990.4590849657834,0.0,
2021-02-17,51996.94140625,52078.1484375,51586.33984375,51703.828125,13600,0,0,51073.33679431481,50075.91187238557,-400.34375,114.63478739730635,997.4249219292396,130.23330020915455,2010.4483566703275,0.0,
2021-02-18,51903.9609375,51903.9609375,51186.6796875,51324.69140625,18200,0,0,51112.00673461253,50168.41406007923,-379.13671875,38.6699402977174,943.5926745332981,92.50218769365893,1941.0175964625378,0.0,
2021-02-19,51238.01953125,51432.98828125,50624.328125,50889.76171875,15000,0,0,51077.8151937106,50221.847219980766,-434.9296875,-34.19154090192751,855.9679737298356,53.433159901534964,1799.5606482631338,0.0,
2021-02-22,50910.51171875,50986.03125,49617.37109375,49744.3203125,16300,0,0,50872.66213506282,50186.47485646367,-1145.44140625,-205.15305864778202,686.1872785991509,-35.372363517097256,1542.1552523289865,-907.616309783398,
2021-02-23,49994.8515625,50327.30859375,49659.8515625,49751.41015625,14900,0,0,50700.16183063008,50154.24784163303,7.08984375,-172.50030443273863,545.9139889970538,-32.227014830641565,1232.1012675962047,-835.2758456261292,72.3404641572688
2021-02-24,49763.94140625,50881.171875,49648.78125,50781.69140625,45900,0,0,50712.70484226391,50200.72514271577,1030.28125,12.543011633832066,511.9796995481447,46.47730108274118,1057.8936885451985,-770.6166164105324,64.65922921559684
2021-02-25,51207.609375,51386.12109375,50991.76171875,51039.30859375,33500,0,0,50762.95157326177,50262.84243538497,257.6171875,50.24673099786014,500.1091378768033,62.11729266920156,1012.088837424948,-716.5151207037867,54.10149570674571
2021-02-26,50256.7109375,50400.30859375,48890.48046875,49099.98828125,23100,0,0,50507.111066798425,50176.705090634234,-1939.3203125,-255.840506463348,330.4059761641911,-86.13734475073579,830.5151140409944,-639.2932917958676,77.22182890791908
2021-03-01,49747.7109375,50058.421875,49440.4609375,49849.83984375,18400,0,0,50405.99241709867,50152.49285012429,749.8515625,-101.11864969975431,253.4995669743803,-24.212240509943513,583.9055431385714,-562.1345468315702,77.1587449642974
2021-03-02,50258.08984375,50439.8203125,49807.12109375,50296.890625,17500,0,0,50389.20752600657,50163.18898159657,447.05078125,-16.784891092102043,226.01854440999887,10.696131472279376,479.51811138437915,-494.91134634725597,67.22320048431425
2021-03-03,50738.2109375,51539.890625,50512.83984375,51444.6484375,15800,0,0,50551.58305085171,50258.11190425608,1147.7578125,162.37552484514163,293.47114659562794,94.92292265951255,519.4896910056268,-454.6233063969304,40.28803995032558
2021-03-04,50812.140625,51256.55078125,50539.921875,50846.078125,21800,0,0,50596.88998533606,50301.66495764452,-598.5703125,45.306934484353405,295.2250276915438,43.55305338843755,588.6961742871717,-422.7436506558531,31.879655741077272
